name,sect,address,access,detail,caution
月江寺,臨済宗,山梨県富士吉田市下吉田3-6-26,富士急行線「月江寺駅」から徒歩5分,,
地蔵寺,臨済宗,山梨県富士吉田市上吉田772,,,
慈光院,臨済宗,山梨県富士吉田市大明見246,,,
吉祥寺,臨済宗,山梨県富士吉田市上吉田7-10-7,,,
寿徳寺,臨済宗,山梨県南都留郡山中湖村平野126,富士急行バス「平野」バス停から徒歩圏内,,
承天寺,臨済宗,山梨県南都留郡忍野村内野182,富士急行バス「内野」バス停下車すぐ,,
円通寺,臨済宗,山梨県南都留郡富士河口湖町船津3932,河口湖周遊バス「猿まわし劇場木の花美術館」徒歩圏内,,
松寿庵,臨済宗,山梨県南都留郡西桂町小沼1534,,,
一乗寺,臨済宗,山梨県南都留郡西桂町小沼1997,,,
通玄寺,臨済宗,山梨県南都留郡鳴沢村251,,,
東光寺,臨済宗,山梨県南都留郡富士河口湖町長浜625,,,
桂久寺,臨済宗,山梨県南都留郡富士河口湖町1263,,,
海蔵寺,臨済宗,山梨県南都留郡富士河口湖町大石1220,,,
善応寺,臨済宗,山梨県南都留郡富士河口湖町河口160,,,
,,,,,
本行寺,日蓮宗,山梨県南都留郡富士河口湖町河口1426,河口湖周遊バス「河口局前」下車,,
上行寺,日蓮宗,山梨県富士吉田市上吉田38,,,
,,,,,
常在寺,法華宗,山梨県南都留郡富士河口湖町小立139,,,
妙法寺,法華宗,山梨県南都留郡富士河口湖町小立692,河口湖周遊バス「妙法寺入口」下車,,
妙本寺,法華宗,山梨県南都留郡富士河口湖町勝山609,,,
,,,,,
東円寺,天台宗,山梨県南都留郡忍野村忍草28,富士急行バス「忍野八海」バス停から徒歩5分,,
輪原寺,天台宗,山梨県富士吉田市小明見1690,,,
聖德寺,天台宗,山梨県南都留郡富士河口湖町富士ケ領町300-2,,,
,,,,,
宝湖寺,曹洞宗,山梨県南都留郡山中湖村山中118,富士急行バス「山中湖村役場前」近く,,
福昌寺,曹洞宗,山梨県富士吉田市上暮地3-1-1,,,
永見寺,曹洞宗,山梨県南都留郡道志村8347,,,
円福寺,曹洞宗,山梨県南都留郡道志村2355,,,
長得院,曹洞宗,山梨県南都留郡西桂町小沼1469-5,,,
宝養寺,曹洞宗,山梨県南都留郡西桂町倉見954,,,
仏眼寺,曹洞宗,山梨県南都留郡西桂町下暮地1162,,,
江岸寺,曹洞宗,山梨県南都留郡富士河口湖町本栖町318,,,
蓮華寺,曹洞宗,山梨県南都留郡富士河口湖町大嵐6,,,
,,,,,
西方寺,浄土宗,山梨県富士吉田市小明見2058,,,
善導寺,浄土宗,山梨県富士吉田市上吉田301,,,
万年寺,浄土宗,山梨県富士吉田市小明見6071,,,
西念寺,浄土宗,山梨県富士吉田市上吉田7-7-1,,,
,,,,,
福源寺,浄土真宗,山梨県富士吉田市下吉田2045,富士急行線「下吉田駅」から徒歩10分,,
如来寺,浄土真宗,山梨県富士吉田市新倉613,,,
大正寺,浄土真宗,山梨県富士吉田市新倉621,,,
正福寺,浄土真宗,山梨県富士吉田市新倉585,,,
,,,,,
一乗院,真如苑,山梨県南都留郡西桂町小沼232,,,
